Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Reward,Total Reward
9,0.022535762,0.54596585,-0.05258152,-0.8761895,1,1.0,17
9,0.033455078,0.3515965,-0.07010531,-0.6004903,0,1.0,18
9,0.04048701,0.54762554,-0.082115114,-0.91440564,1,1.0,19
9,0.05143952,0.3537045,-0.10040323,-0.648619,0,1.0,20
9,0.05851361,0.16011402,-0.11337561,-0.38916463,0,1.0,21
9,0.06171589,-0.033231504,-0.1211589,-0.13426937,0,1.0,22
9,0.06105126,-0.22642843,-0.12384429,0.11786798,0,1.0,23
9,0.05652269,-0.4195784,-0.12148693,0.36905673,0,1.0,24
9,0.048131123,-0.6127836,-0.11410579,0.6210992,0,1.0,25
9,0.03587545,-0.41626865,-0.10168381,0.2947693,1,1.0,26
9,0.027550077,-0.60980505,-0.09578843,0.5537308,0,1.0,27
9,0.015353977,-0.8034606,-0.08471381,0.8147638,0,1.0,28
9,-0.0007152357,-0.9973267,-0.06841853,1.079644,0,1.0,29
9,-0.02066177,-0.80137134,-0.046825655,0.7662993,1,1.0,30
9,-0.036689196,-0.605637,-0.03149967,0.4592579,1,1.0,31
9,-0.048801936,-0.41008428,-0.02231451,0.15681496,1,1.0,32
9,-0.05700362,-0.21465008,-0.01917821,-0.14282331,1,1.0,33
9,-0.061296623,-0.01925879,-0.022034677,-0.44149438,1,1.0,34
9,-0.0616818,0.17616794,-0.030864565,-0.741041,1,1.0,35
9,-0.058158442,0.3717021,-0.045685384,-1.0432752,1,1.0,36
9,-0.0507244,0.1772156,-0.06655089,-0.7652768,0,1.0,37
9,-0.047180086,-0.016929891,-0.08185642,-0.4942547,0,1.0,38
9,-0.047518685,-0.21080779,-0.09174152,-0.22845055,0,1.0,39
9,-0.051734842,-0.4045071,-0.096310526,0.033942405,0,1.0,40
9,-0.059824985,-0.20814541,-0.09563168,-0.28750667,1,1.0,41
9,-0.06398789,-0.40178272,-0.101381816,-0.026450744,0,1.0,42
9,-0.07202355,-0.20536405,-0.10191083,-0.34932116,1,1.0,43
9,-0.07613083,-0.008951499,-0.108897254,-0.6723213,1,1.0,44
9,-0.07630986,-0.20240475,-0.12234368,-0.41581285,0,1.0,45
9,-0.080357954,-0.39559963,-0.13065994,-0.16406603,0,1.0,46
9,-0.08826994,-0.58863264,-0.13394126,0.08471058,0,1.0,47
9,-0.1000426,-0.39187035,-0.13224705,-0.24705042,1,1.0,48
9,-0.107880004,-0.19513197,-0.13718805,-0.5783485,1,1.0,49
9,-0.11178264,0.0016189882,-0.14875503,-0.910909,1,1.0,50
9,-0.11175026,-0.19121099,-0.1669732,-0.6684312,0,1.0,51
9,-0.11557449,-0.38366604,-0.18034182,-0.4326259,0,1.0,52
9,-0.1232478,-0.1865103,-0.18899435,-0.776297,1,1.0,53
9,-0.12697801,-0.37860024,-0.20452029,-0.5485268,0,1.0,54
10,0.026374487,-0.22001028,-0.013211372,0.30821893,0,1.0,1
10,0.021974282,-0.41494152,-0.007046994,0.5967063,0,1.0,2
10,0.013675451,-0.60996413,0.004887131,0.88716114,0,1.0,3
10,0.001476168,-0.4149089,0.022630354,0.5960185,1,1.0,4
