Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Reward,Score
7,0.031850547,0.04044619,-0.03719459,-0.03631839,1,0.5389716476202011,()
7,0.03265947,0.23608123,-0.03792096,-0.34050068,1,-0.07263682782649994,()
7,0.037381094,0.041518774,-0.044730972,-0.060012896,0,-0.6810013204813004,()
7,0.03821147,0.23725258,-0.045931228,-0.36646646,1,-0.12002550065517426,()
7,0.04295652,0.43299612,-0.053260557,-0.6732711,1,-0.732932984828949,()
7,0.051616445,0.23865332,-0.066725984,-0.3978215,0,-1.3465426862239838,()
7,0.05638951,0.044538327,-0.07468241,-0.12689985,0,-0.7956422865390778,()
7,0.057280276,0.2406463,-0.07722041,-0.44217807,1,-0.25380030274391174,()
7,0.062093202,0.43677118,-0.086063966,-0.758169,1,-0.8843556046485901,()
7,0.070828624,0.63296705,-0.10122735,-1.0766451,1,-1.516338437795639,()
7,0.083487965,0.8292699,-0.12276025,-1.3993021,1,-2.1532900631427765,()
7,0.10007337,1.0256853,-0.15074629,-1.7277089,1,-2.7986034750938416,()
7,0.12058707,0.83257407,-0.18530047,-1.4854788,0,-3.455418348312378,()
8,0.03625658,-0.24356152,0.019751957,0.24927667,0,0.09975992143154144,()
8,0.03138535,-0.4389599,0.024737488,0.5481238,0,-0.49855317920446396,()
8,0.022606153,-0.63442045,0.035699964,0.848497,0,-1.0962475091218948,()
8,0.0099177435,-0.43980315,0.052669905,0.56725055,1,-1.6969941556453705,()
8,0.0011216807,-0.24545805,0.06401492,0.29161498,1,-1.1345013976097107,()
8,-0.0037874803,-0.44143158,0.06984722,0.6037807,0,-0.5832299590110779,()
8,-0.012616112,-0.24735242,0.08192283,0.3338902,1,-1.207561045885086,()
8,-0.01756316,-0.443539,0.088600636,0.6512415,0,-0.6677806377410889,()
8,-0.02643394,-0.63977593,0.101625465,0.9704568,0,-1.302482932806015,()
8,-0.03922946,-0.8361043,0.1210346,1.2932564,0,-1.9409134984016418,()
8,-0.055951543,-0.6427105,0.14689973,1.0407853,1,-2.586513012647629,()
8,-0.068805754,-0.44981283,0.16771543,0.7975885,1,-2.081570029258728,()
8,-0.07780201,-0.25734016,0.1836672,0.56200796,1,-1.5951767563819885,()
8,-0.08294881,-0.06520608,0.19490737,0.33234933,1,-1.1240169405937195,()
8,-0.08425293,0.12668507,0.20155434,0.10690327,1,-0.6646975874900818,()
8,-0.081719235,-0.070668854,0.20369242,0.45579806,0,-0.2138078212738037,()
9,0.00020973066,-0.20101738,-0.03002483,0.26566875,0,-0.03501139581203461,()
9,-0.0038106171,-0.0054800543,-0.024711456,-0.036331028,1,0.5313374102115631,()
9,-0.003920218,-0.20023908,-0.025438076,0.24845389,0,-0.07266197353601456,()
9,-0.007925,-0.3949887,-0.020468999,0.5330058,0,0.49690771847963333,()
9,-0.015824774,-0.19958492,-0.009808883,0.23394409,1,1.0660115629434586,()
9,-0.019816471,-0.004324205,-0.0051300013,-0.061816663,1,0.46788817271590233,()
9,-0.019902956,-0.19937223,-0.0063663344,0.22924331,0,-0.12363330461084843,()
9,-0.0238904,-0.0041598836,-0.0017814683,-0.06544097,1,0.45848661102354527,()
9,-0.0239736,-0.19925624,-0.0030902876,0.22667937,0,-0.1308819279074669,()
9,-0.027958723,-0.004090269,0.0014432997,-0.06697675,1,0.16469878610223532,()
9,-0.028040528,0.19101097,0.000103764716,-0.35920396,1,0.13395349960774183,()
