Episode Number,Car x Coordinates,Car y Coordinates,Action,Exploration Rate,Reward,Score
1,67.19262695,-5.460025787,4,1,-0.3,34.31677419
1,67.17977905,-5.407425404,4,1,-0.3,34.01677419
1,67.1796875,-5.407063484,1,1,-0.3,33.71677419
1,67.17960358,-5.406803608,1,1,-0.3,33.41677419
1,67.17949677,-5.406556129,1,1,-0.3,33.11677419
1,67.17938232,-5.406312943,3,1,-0.3,32.81677419
1,67.17926788,-5.406065464,3,1,-0.3,32.51677419
1,67.17917633,-5.405808926,1,1,-0.3,32.21677419
1,67.16648102,-5.354007244,0,1,-0.3,31.91677419
1,67.14274597,-5.257402897,4,1,-0.3,31.61677419
1,67.14187622,-5.253963947,1,1,-0.3,31.31677419
1,67.14160156,-5.253037453,4,1,-0.3,31.01677419
1,67.14160156,-5.253036022,2,1,-0.3,30.71677419
1,67.14160156,-5.253035545,4,1,-0.3,30.41677419
1,67.14160156,-5.253035545,2,1,-0.3,30.11677419
1,67.14160156,-5.253035545,4,1,-0.3,29.81677419
1,67.14160156,-5.253035545,2,1,-0.3,29.51677419
1,67.14160156,-5.253035545,4,1,-0.3,29.21677419
1,67.14160156,-5.253035545,2,1,-0.3,28.91677419
1,67.12895966,-5.201341629,0,1,-0.3,28.61677419
1,67.10532379,-5.104690075,4,1,-0.3,28.31677419
1,67.09214783,-5.050837994,0,1,-0.3,28.01677419
1,67.0570755,-4.906814098,3,1,2.925806452,30.94258065
1,67.02365112,-4.761650562,1,0.9995,-0.3,30.64258065
1,66.98952484,-4.61661768,3,0.99900025,-0.3,30.34258065
1,66.95874786,-4.471093178,1,0.99850075,-0.3,30.04258065
1,66.92603302,-4.325849056,3,0.9980015,-0.3,29.74258065
1,66.9098053,-4.249451637,4,0.997502499,-0.3,29.44258065
1,66.9095459,-4.248301506,3,0.997003748,-0.3,29.14258065
1,66.90948486,-4.247984886,4,0.996505246,-0.3,28.84258065
1,66.90948486,-4.247983932,4,0.996006993,-0.3,28.54258065
1,66.89744568,-4.196146965,0,0.99550899,-0.3,28.24258065
1,66.85426331,-4.010241032,0,0.995011235,3.510967742,31.75354839
1,66.79087067,-3.737317085,2,0.994513729,-0.3,31.45354839
1,66.72711182,-3.459769249,3,0.994016473,-0.3,31.15354839
1,66.68202209,-3.256153584,4,0.993519464,-0.3,30.85354839
1,66.66175842,-3.167821884,2,0.993022705,-0.3,30.55354839
1,66.641922,-3.080445528,3,0.992526193,-0.3,30.25354839
1,66.61893463,-2.971361637,0,0.99202993,3.510967742,33.76451613
1,66.58007813,-2.797998428,2,0.991533915,-0.3,33.46451613
1,66.53765869,-2.610565901,0,0.991038148,-0.3,33.16451613
1,66.48574829,-2.377677679,3,0.990542629,-0.3,32.86451613
1,66.43791199,-2.13222456,0,0.990047358,-0.3,32.56451613
1,66.37149811,-1.818973422,0,0.989552334,3.510967742,36.07548387
1,66.2905426,-1.43683219,3,0.989057558,-0.3,35.77548387
1,66.22240448,-1.051124811,2,0.988563029,-0.3,35.47548387
1,66.1468811,-0.666367888,1,0.988068748,2.925806452,38.40129032
1,66.05310822,-0.28648001,3,0.987574713,-0.3,38.10129032
1,65.96913147,0.096242949,3,0.987080926,2.925806452,41.02709677
1,65.91259766,0.482412636,3,0.986587385,-0.3,40.72709677
1,65.89098358,0.780748546,4,0.986094092,-0.3,40.42709677
1,65.87599182,0.895428002,2,0.985601045,2.925806452,43.35290323
1,65.85926819,1.008132458,1,0.985108244,-0.3,43.05290323
1,65.83945465,1.120130539,3,0.98461569,-0.3,42.75290323
1,65.82154083,1.232555509,1,0.984123382,-0.3,42.45290323
1,65.80046844,1.344189405,2,0.983631321,-0.3,42.15290323
1,65.77935028,1.477854729,0,0.983139505,-0.3,41.85290323
1,65.7599411,1.606151462,4,0.982647935,-0.3,41.55290323
1,65.75109863,1.66477406,0,0.982156611,-0.3,41.25290323
